strategy,churn_rate,seed,n_nodes,n_shards,ticks,n_queries,success_rate,throughput_per_tick,mean_cost,p90_cost,total_control_cost,control_overhead_ratio,n_disruptions,mean_recovery_ticks,n_never_recovered,trial
decentralized_greedy,0.05,62061,14,10,400,2829,0.6443973135383527,4.5575,15.288614000794666,28.864284999492792,3804.0,0.6760263017593744,11,0.0,0,0
decentralized_greedy,0.05,28246,14,10,400,2851,0.7435987372851631,5.3,20.566620005250424,39.63202807554107,4734.0,0.6906915669681938,12,0.0,0,1
decentralized_greedy,0.05,790292,14,10,400,2811,0.6503023834934187,4.57,12.466972952218251,22.67038379999109,3841.0,0.6775445404833303,16,0.375,0,2
decentralized_greedy,0.1,294035,14,10,400,2741,0.2816490331995622,1.93,9.54678060336929,22.48387889189115,2093.0,0.7305410122164049,35,1.9090909090909092,2,0
decentralized_greedy,0.1,730139,14,10,400,2725,0.4689908256880734,3.195,16.35041604562708,29.855429718951378,2805.0,0.6869948567229978,25,0.0,2,1
decentralized_greedy,0.1,275854,14,10,400,2722,0.5661278471711977,3.8525,16.824899808376994,29.214659938275407,3469.0,0.6924151696606786,32,0.5,2,2
decentralized_greedy,0.2,450970,14,10,400,2794,0.17752326413743735,1.24,13.510181656966923,33.06337187196805,1451.0,0.7452491011813046,60,5.266666666666667,0,0
decentralized_greedy,0.2,522067,14,10,400,2865,0.4652705061082024,3.3325,17.168146761130462,32.54537761909656,3283.0,0.7112218370883883,64,5.080645161290323,2,1
decentralized_greedy,0.2,64226,14,10,400,2869,0.30812129661903104,2.21,23.315666133903093,44.82562138896023,2674.0,0.7515458122540754,72,3.242424242424242,4,2
antsql,0.0,336710,14,10,400,2807,0.9996437477734236,7.015,27.404242383741693,59.25519696801803,745.0,0.20980005632216278,0,,0,0
antsql,0.0,726886,14,10,400,2926,0.9651401230348599,7.06,37.947527415306325,71.57000856247062,772.0,0.21468298109010012,0,,0,1
antsql,0.0,286944,14,10,400,2805,0.9975044563279858,6.995,29.350415604087612,53.96318129744584,770.0,0.2158071748878924,0,,0,2
antsql,0.05,824429,14,10,400,2777,0.8062657544112352,5.5975,26.167580131330816,55.21609348962572,739.0,0.24815312290127603,17,0.0,0,0
antsql,0.05,187044,14,10,400,2782,0.6078360891445004,4.2275,37.5923208423688,74.27304157709023,788.0,0.31787010891488504,16,0.0,0,1
antsql,0.05,547285,14,10,400,2669,0.8231547396028475,5.4925,27.469811951131692,55.547372942828744,677.0,0.23556019485038274,16,1.5625,0,2
antsql,0.1,648087,14,10,400,2808,0.28917378917378916,2.03,28.62747478655768,58.771522165025466,431.0,0.3467417538213998,27,1.1153846153846154,0,0
antsql,0.1,426844,14,10,400,2865,0.7808027923211169,5.5925,36.78673711588991,77.09742779989432,932.0,0.2940990848848217,33,1.1818181818181819,0,1
antsql,0.1,796544,14,10,400,2812,0.8364153627311522,5.88,38.50238841711914,79.2933088676785,646.0,0.21547698465643764,28,1.25,0,2
antsql,0.2,926984,14,10,400,2761,0.6838102136906917,4.72,29.791758822969374,59.81819482354812,887.0,0.31963963963963965,54,1.8703703703703705,0,0
antsql,0.2,326905,14,10,400,2757,0.6409140369967355,4.4175,29.308702947990575,63.485055519300545,812.0,0.31485071733229936,62,2.7868852459016393,1,1
antsql,0.2,256875,14,10,400,2733,0.7449688986461763,5.09,37.62885543565319,77.9287136890073,705.0,0.2572053994892375,53,3.173076923076923,0,2
