strategy,churn_rate,seed,n_nodes,n_shards,ticks,n_queries,success_rate,throughput_per_tick,mean_cost,p90_cost,total_control_cost,control_overhead_ratio,n_disruptions,mean_recovery_ticks,n_never_recovered,trial
antsql,0.0,336710,1000,100,50,970,0.01134020618556701,0.22,57.69330589405794,89.64015268993036,19479.0,0.9994356080041047,0,,0,0
antsql,0.05,824429,1000,100,50,962,0.013513513513513514,0.26,64.9017141414255,116.4651906338087,19438.0,0.9993316538995425,0,,0,0
antsql,0.2,926984,1000,100,50,1044,0.011494252873563218,0.24,61.816699653867225,111.85381428848149,18614.0,0.9993557392891657,11,2.5,3,0
