strategy,churn_rate,seed,n_nodes,n_shards,ticks,n_queries,success_rate,throughput_per_tick,mean_cost,p90_cost,total_control_cost,control_overhead_ratio,n_disruptions,mean_recovery_ticks,n_never_recovered,arm,trial
static_centralized,0.2,63394,14,10,400,2914,0.2608098833218943,1.9,16.40240112251214,32.52447517112209,0.0,0.0,36,0.17142857142857143,1,node_death,0
static_centralized,0.2,313665,14,10,400,2806,0.6528866714183892,4.58,17.37983794953124,32.87326337423793,0.0,0.0,43,0.6511627906976745,0,node_death,1
static_centralized,0.2,182017,14,10,400,2795,0.21574239713774598,1.5075,12.01682341771079,26.210239668428066,0.0,0.0,41,2.268292682926829,0,node_death,2
static_centralized,0.2,144730,14,10,400,2710,0.7586715867158672,5.14,17.14564866593131,32.60927169716828,0.0,0.0,33,0.0,0,node_death,3
static_centralized,0.2,802553,14,10,400,2863,0.6437303527768076,4.6075,14.399650579785272,26.731831604809226,0.0,0.0,39,0.0,1,node_death,4
static_centralized,0.2,508834,14,10,400,2865,0.30157068062827225,2.16,15.409229095603742,27.94623419107583,0.0,0.0,47,4.534883720930233,3,node_death,5
static_centralized,0.2,375698,14,10,400,2912,0.48729395604395603,3.5475,23.555114270620702,45.72466566544152,0.0,0.0,46,6.434782608695652,0,node_death,6
static_centralized,0.2,428958,14,10,400,2782,0.5100647016534867,3.5475,20.192804985330206,35.75266044225242,0.0,0.0,37,0.3333333333333333,1,node_death,7
static_centralized,0.2,51938,14,10,400,2771,0.53915553951642,3.735,15.624514394063333,26.096980334746988,0.0,0.0,41,1.025,1,node_death,8
static_centralized,0.2,673680,14,10,400,2887,0.34049186006234844,2.4575,20.41020562273088,33.719714821854154,0.0,0.0,45,0.5476190476190477,3,node_death,9
static_centralized,0.2,50698,14,10,400,2732,0.09882869692532943,0.675,13.542209278711583,31.90239584110839,0.0,0.0,42,2.8333333333333335,0,node_death,10
static_centralized,0.2,892044,14,10,400,2810,0.29644128113879004,2.0825,18.67763182683108,38.22267885063462,0.0,0.0,43,4.7073170731707314,2,node_death,11
static_centralized,0.2,445267,14,10,400,2759,0.6480608916274012,4.47,16.365661882643934,27.505702136792866,0.0,0.0,34,0.0,0,node_death,12
static_centralized,0.2,760378,14,10,400,2749,0.07711895234630775,0.53,18.15378355031657,39.330574998066595,0.0,0.0,41,4.025,0,node_death,13
static_centralized,0.2,876382,14,10,400,2824,0.728399433427762,5.1425,19.71868109480375,31.697457175395247,0.0,0.0,41,0.0,0,node_death,14
static_centralized,0.2,13434,14,10,400,2801,0.3520171367368797,2.465,14.528046249118383,29.546694406694222,0.0,0.0,39,3.5789473684210527,0,node_death,15
static_centralized,0.2,942274,14,10,400,2824,0.18732294617563738,1.3225,14.300984044897458,26.366742002046678,0.0,0.0,49,2.9555555555555557,3,node_death,16
static_centralized,0.2,103921,14,10,400,2845,0.5367311072056239,3.8175,19.72094265689608,37.90490355825346,0.0,0.0,47,6.659090909090909,3,node_death,17
static_centralized,0.2,444924,14,10,400,2759,0.7847046031170714,5.4125,21.480435186679934,35.81814516280251,0.0,0.0,35,0.4,0,node_death,18
static_centralized,0.2,240129,14,10,400,2823,0.7300743889479278,5.1525,21.050742608511115,35.51636674087831,0.0,0.0,31,0.0,0,node_death,19
static_centralized,0.2,155980,14,10,400,2729,0.564309270795163,3.85,16.529099065812257,27.63497459298164,0.0,0.0,31,1.4193548387096775,0,node_revival,0
static_centralized,0.2,146017,14,10,400,2837,0.29784984138174125,2.1125,13.228974434224599,24.48513380731318,0.0,0.0,52,4.326923076923077,0,node_revival,1
static_centralized,0.2,145896,14,10,400,2859,0.2721231199720182,1.945,14.442285102300868,27.3505828176505,0.0,0.0,41,1.8780487804878048,0,node_revival,2
static_centralized,0.2,707536,14,10,400,2853,0.647739221871714,4.62,19.69555882487933,32.2836719517341,0.0,0.0,37,0.05555555555555555,1,node_revival,3
static_centralized,0.2,207984,14,10,400,2730,0.552014652014652,3.7675,17.067596300941197,30.403232979591273,0.0,0.0,46,0.08695652173913043,0,node_revival,4
static_centralized,0.2,773026,14,10,400,2800,0.22428571428571428,1.57,13.961696315506265,30.23325636467067,0.0,0.0,37,2.638888888888889,0,node_revival,5
static_centralized,0.2,728785,14,10,400,2769,0.4145901047309498,2.87,15.388915046058209,29.305488495133005,0.0,0.0,39,0.6410256410256411,0,node_revival,6
static_centralized,0.2,917873,14,10,400,2761,0.4045635639261137,2.7925,17.530443156417135,35.054139413893935,0.0,0.0,52,1.0196078431372548,1,node_revival,7
static_centralized,0.2,961910,14,10,400,2886,0.5467775467775468,3.945,14.869785371302218,30.269744361609373,0.0,0.0,31,0.0,2,node_revival,8
static_centralized,0.2,550542,14,10,400,2801,0.7275972866833273,5.095,18.60004664502954,32.11686751323591,0.0,0.0,32,0.25,0,node_revival,9
static_centralized,0.2,953832,14,10,400,2813,0.36935655883398505,2.5975,20.775075342012666,44.872235138634416,0.0,0.0,48,2.4347826086956523,2,node_revival,10
static_centralized,0.2,369259,14,10,400,2757,0.3895538628944505,2.685,17.05826809133831,32.09736371315328,0.0,0.0,53,0.8113207547169812,0,node_revival,11
static_centralized,0.2,47933,14,10,400,2830,0.4787985865724382,3.3875,16.493219502039743,29.290702727786822,0.0,0.0,37,2.611111111111111,1,node_revival,12
static_centralized,0.2,689395,14,10,400,2782,0.19086987778576564,1.3275,9.42446491837618,22.420895548193872,0.0,0.0,35,2.5,1,node_revival,13
static_centralized,0.2,563589,14,10,400,2806,0.4105488239486814,2.88,22.019107178158016,37.75550336647606,0.0,0.0,34,1.5294117647058822,0,node_revival,14
static_centralized,0.2,446180,14,10,400,2873,0.3438914027149321,2.47,17.893281777857027,35.89728626883211,0.0,0.0,39,3.0,1,node_revival,15
static_centralized,0.2,737432,14,10,400,2851,0.5106980007015083,3.64,25.50466969191226,46.03653855293109,0.0,0.0,32,0.71875,0,node_revival,16
static_centralized,0.2,551564,14,10,400,2838,0.6194503171247357,4.395,14.819145784420973,28.104329059603177,0.0,0.0,42,0.4523809523809524,0,node_revival,17
static_centralized,0.2,823036,14,10,400,2778,0.5842332613390929,4.0575,20.937831217557168,38.987852323929275,0.0,0.0,43,1.5116279069767442,0,node_revival,18
static_centralized,0.2,323438,14,10,400,2791,0.17054819061268361,1.19,16.96683228245339,36.002316078873584,0.0,0.0,49,1.425531914893617,2,node_revival,19
static_centralized,0.2,185664,14,10,400,2872,0.4474233983286908,3.2125,11.330117690468365,22.5816399059591,0.0,0.0,39,2.230769230769231,0,shard_migration,0
static_centralized,0.2,604351,14,10,400,2820,0.40177304964539007,2.8325,13.954428179227998,29.183439692919695,0.0,0.0,45,1.3863636363636365,0,shard_migration,1
static_centralized,0.2,742537,14,10,400,2816,0.39098011363636365,2.7525,17.827945446091036,31.3862035906959,0.0,0.0,42,1.880952380952381,0,shard_migration,2
static_centralized,0.2,257809,14,10,400,2893,0.5191842378154166,3.755,17.55396489869839,32.53926321383242,0.0,0.0,41,1.7317073170731707,0,shard_migration,3
static_centralized,0.2,496665,14,10,400,2741,0.456767603064575,3.13,16.149663469369887,30.256976200766655,0.0,0.0,46,0.6222222222222222,1,shard_migration,4
static_centralized,0.2,390417,14,10,400,2734,0.40270665691294805,2.7525,15.952624317721211,33.20509691581823,0.0,0.0,40,0.175,0,shard_migration,5
static_centralized,0.2,635935,14,10,400,2833,0.44546417225555945,3.155,16.744732050372807,31.03217598259929,0.0,0.0,41,0.7317073170731707,0,shard_migration,6
static_centralized,0.2,17436,14,10,400,2912,0.36572802197802196,2.6625,15.313241557701337,30.207811907729422,0.0,0.0,41,0.4146341463414634,0,shard_migration,7
static_centralized,0.2,864884,14,10,400,2793,0.4078052273540995,2.8475,11.518476629838755,21.72855987118109,0.0,0.0,45,2.111111111111111,0,shard_migration,8
static_centralized,0.2,638224,14,10,400,2818,0.3910574875798439,2.755,14.803558639728758,34.65654839250007,0.0,0.0,43,0.21428571428571427,1,shard_migration,9
static_centralized,0.2,845731,14,10,400,2750,0.37345454545454543,2.5675,13.469613997089775,28.874101434379646,0.0,0.0,51,0.5294117647058824,0,shard_migration,10
static_centralized,0.2,129711,14,10,400,2804,0.42653352353780316,2.99,15.713675074038882,30.207900669477752,0.0,0.0,30,0.06896551724137931,1,shard_migration,11
static_centralized,0.2,585949,14,10,400,2688,0.35342261904761907,2.375,16.87495483463169,34.32080069952975,0.0,0.0,34,0.3939393939393939,0,shard_migration,12
static_centralized,0.2,423259,14,10,400,2855,0.2844133099824869,2.03,12.486139102712036,27.801917001221007,0.0,0.0,39,0.7692307692307693,0,shard_migration,13
static_centralized,0.2,871206,14,10,400,2776,0.4953170028818444,3.4375,15.81988668660583,28.378441366516423,0.0,0.0,40,0.0,0,shard_migration,14
