strategy,churn_rate,seed,n_nodes,n_shards,ticks,n_queries,success_rate,throughput_per_tick,mean_cost,p90_cost,total_control_cost,control_overhead_ratio,n_disruptions,mean_recovery_ticks,n_never_recovered,trial
static_centralized,0.1,917819,14,10,400,2722,0.6311535635562087,4.295,18.14514177500591,35.82528209837022,0.0,0.0,36,0.0,0,0
static_centralized,0.1,267463,14,10,400,2739,0.7988316903979554,5.47,25.01213750144591,43.98795338499049,0.0,0.0,39,0.0,0,1
static_centralized,0.1,715409,14,10,400,2672,0.4528443113772455,3.025,16.90437452065305,31.77285647812241,0.0,0.0,31,0.6451612903225806,0,2
static_centralized,0.1,878509,14,10,400,2896,0.6988950276243094,5.06,20.729738637225736,40.83732426269309,0.0,0.0,29,1.8275862068965518,0,3
static_centralized,0.1,866001,14,10,400,2835,0.34250440917107583,2.4275,14.210360794265997,27.548636888499832,0.0,0.0,39,1.435897435897436,0,4
static_centralized,0.1,548168,14,10,400,2727,0.40117345067840116,2.735,16.027910449274845,31.13345315539549,0.0,0.0,31,0.03333333333333333,0,5
static_centralized,0.1,372672,14,10,400,2748,0.413391557496361,2.84,11.959749095133196,22.06330119990703,0.0,0.0,30,0.0,2,6
static_centralized,0.1,136865,14,10,400,2811,0.5873354678050516,4.1275,19.85701111898191,37.98137106136001,0.0,0.0,29,0.0,0,7
static_centralized,0.1,590703,14,10,400,2846,0.7287420941672523,5.185,18.690447392395843,32.00578443433283,0.0,0.0,23,0.0,0,8
static_centralized,0.1,873107,14,10,400,2778,0.7897768178545717,5.485,23.65293994091535,38.17700550298686,0.0,0.0,19,0.0,0,9
static_centralized,0.1,160026,14,10,400,2754,0.5,3.4425,16.527616146179657,35.39290501791199,0.0,0.0,23,0.2608695652173913,0,10
static_centralized,0.1,831193,14,10,400,2830,0.37208480565371027,2.6325,19.93015579549239,36.87624533727403,0.0,0.0,28,0.10714285714285714,0,11
static_centralized,0.1,490095,14,10,400,2845,0.6579964850615114,4.68,18.32079293475648,31.631370222335345,0.0,0.0,25,0.0,0,12
static_centralized,0.1,39127,14,10,400,2807,0.1638760242251514,1.15,15.291620461764587,36.59238112373913,0.0,0.0,32,2.0,2,13
static_centralized,0.1,827085,14,10,400,2842,0.38986629134412387,2.77,25.311153949723792,50.80709262534193,0.0,0.0,29,1.0689655172413792,0,14
static_centralized,0.1,198653,14,10,400,2749,0.5660240087304474,3.89,14.06067510578075,26.190614404841963,0.0,0.0,28,0.0,0,15
static_centralized,0.1,407537,14,10,400,2856,0.3644957983193277,2.6025,17.93290701030829,35.79042830905698,0.0,0.0,32,2.4516129032258065,1,16
static_centralized,0.1,493203,14,10,400,2845,0.3852372583479789,2.74,21.01548732508193,35.94847951907893,0.0,0.0,30,1.8148148148148149,3,17
static_centralized,0.1,88549,14,10,400,2725,0.6337614678899083,4.3175,17.839303005474758,35.638809339982224,0.0,0.0,31,0.0,0,18
static_centralized,0.1,47829,14,10,400,2769,0.2990249187432286,2.07,18.967896708346395,42.069243290429355,0.0,0.0,25,0.0,0,19
static_centralized,0.2,568847,14,10,400,2707,0.43258219431104544,2.9275,12.003451692796116,22.61218783360328,0.0,0.0,37,0.08108108108108109,0,0
static_centralized,0.2,40389,14,10,400,2760,0.4166666666666667,2.875,17.055443311294262,31.091261588569743,0.0,0.0,66,1.2424242424242424,0,1
static_centralized,0.2,724160,14,10,400,2874,0.34237995824634654,2.46,22.338050156992992,51.726736886468835,0.0,0.0,59,0.6949152542372882,0,2
static_centralized,0.2,553386,14,10,400,2783,0.233201581027668,1.6225,9.419926930342285,22.480502734998506,0.0,0.0,64,6.983606557377049,3,3
static_centralized,0.2,42296,14,10,400,2825,0.36283185840707965,2.5625,19.723960170314765,39.610029445092216,0.0,0.0,60,1.3898305084745763,0,4
static_centralized,0.2,380745,14,10,400,2689,0.37560431387132764,2.525,18.139953007761974,33.115876290163065,0.0,0.0,62,9.209677419354838,0,5
static_centralized,0.2,485955,14,10,400,2863,0.1994411456514146,1.4275,17.081849235805603,31.853438825590395,0.0,0.0,59,0.0847457627118644,0,6
static_centralized,0.2,314582,14,10,400,2746,0.3954843408594319,2.715,14.835917978675765,29.20640641504247,0.0,0.0,61,0.3442622950819672,0,7
static_centralized,0.2,691541,14,10,400,2841,0.20450545582541357,1.4525,22.68223602886595,43.869776711446676,0.0,0.0,62,1.9193548387096775,0,8
static_centralized,0.2,927183,14,10,400,2775,0.45837837837837836,3.18,18.717394085970405,35.537777296829354,0.0,0.0,48,0.391304347826087,2,9
static_centralized,0.2,186326,14,10,400,2902,0.2991040661612681,2.17,10.932440002065512,23.405295111904408,0.0,0.0,65,1.6923076923076923,0,10
static_centralized,0.2,660624,14,10,400,2895,0.3696027633851468,2.675,15.279211562949888,31.549282131853005,0.0,0.0,55,1.0363636363636364,0,11
static_centralized,0.2,205707,14,10,400,2868,0.46373779637377965,3.325,19.654701085917345,39.560368598807614,0.0,0.0,49,0.4489795918367347,0,12
static_centralized,0.2,753789,14,10,400,2765,0.5280289330922242,3.65,20.362207388795994,38.94665799638349,0.0,0.0,44,2.090909090909091,0,13
static_centralized,0.2,582970,14,10,400,2794,0.4058697208303508,2.835,18.31242710680838,37.332718233927345,0.0,0.0,52,1.872340425531915,5,14
static_centralized,0.2,281995,14,10,400,2906,0.4284239504473503,3.1125,18.316074996764335,36.256774948976954,0.0,0.0,67,0.5671641791044776,0,15
static_centralized,0.2,900374,14,10,400,2875,0.27791304347826085,1.9975,17.55514016478554,40.31610609534253,0.0,0.0,53,1.471698113207547,0,16
static_centralized,0.2,275134,14,10,400,2880,0.46805555555555556,3.37,13.694828895518096,28.50108346737026,0.0,0.0,51,1.02,1,17
static_centralized,0.2,484499,14,10,400,2743,0.2883703973751367,1.9775,15.448892676934962,31.575031727771815,0.0,0.0,62,3.210526315789474,5,18
static_centralized,0.2,772177,14,10,400,2800,0.4953571428571429,3.4675,17.989943631521008,33.14653137592352,0.0,0.0,57,1.105263157894737,0,19
static_centralized,0.3,847179,14,10,400,2791,0.22715872447151558,1.585,17.11347569492264,37.00271356588906,0.0,0.0,103,3.1941747572815533,0,0
static_centralized,0.3,842526,14,10,400,2750,0.45490909090909093,3.1275,17.997146909893456,38.87496452109373,0.0,0.0,73,3.835616438356164,0,1
static_centralized,0.3,745941,14,10,400,2886,0.3031878031878032,2.1875,19.421438223547792,38.56785354977552,0.0,0.0,81,1.7777777777777777,0,2
static_centralized,0.3,619087,14,10,400,2848,0.3981741573033708,2.835,18.456404373295978,35.89185123947034,0.0,0.0,88,0.5909090909090909,0,3
